(in /Users/marcelomenezes/ruby_training/newstemplates)
+----------------------------------------------------+-------+-------+--------+
|                  File                              | Lines |  LOC  |  COV   |
|...2.1.0/lib/action_view/helpers/sanitize_helper.rb |   229 |    70 |  51.4% |
|.../lib/action_view/helpers/scriptaculous_helper.rb |   225 |    58 |  24.1% |
|...pack-2.1.0/lib/action_view/helpers/tag_helper.rb |   133 |    54 |  27.8% |
|...ack-2.1.0/lib/action_view/helpers/text_helper.rb |   507 |   204 |  16.7% |
|...pack-2.1.0/lib/action_view/helpers/url_helper.rb |   575 |   175 |  10.9% |
|...ionpack-2.1.0/lib/action_view/inline_template.rb |    20 |    15 |  26.7% |
|...onpack-2.1.0/lib/action_view/partial_template.rb |    70 |    53 |  22.6% |
|...ems/actionpack-2.1.0/lib/action_view/partials.rb |   158 |    50 |  14.0% |
|...ems/actionpack-2.1.0/lib/action_view/template.rb |   127 |    92 |  38.0% |
|...tionpack-2.1.0/lib/action_view/template_error.rb |   110 |    86 |  25.6% |
|...ionpack-2.1.0/lib/action_view/template_finder.rb |   177 |   126 |  57.9% |
|...onpack-2.1.0/lib/action_view/template_handler.rb |    34 |    25 |  60.0% |
|...1.0/lib/action_view/template_handlers/builder.rb |    27 |    23 |  34.8% |
|.../lib/action_view/template_handlers/compilable.rb |   128 |    90 |  26.7% |
|...k-2.1.0/lib/action_view/template_handlers/erb.rb |    56 |    31 |  58.1% |
|...k-2.1.0/lib/action_view/template_handlers/rjs.rb |    27 |    24 |  29.2% |
|...1.8/gems/activerecord-2.1.0/lib/active_record.rb |    82 |    54 |  94.4% |
|...verecord-2.1.0/lib/active_record/aggregations.rb |   189 |    51 |  21.6% |
|...d-2.1.0/lib/active_record/association_preload.rb |   277 |   230 |  10.0% |
|...verecord-2.1.0/lib/active_record/associations.rb |  1994 |   961 |  32.4% |
|...ve_record/associations/association_collection.rb |   365 |   290 |  41.7% |
|.../active_record/associations/association_proxy.rb |   224 |   134 |  76.1% |
|...ve_record/associations/belongs_to_association.rb |    58 |    48 |  81.2% |
|...sociations/belongs_to_polymorphic_association.rb |    49 |    41 |  22.0% |
|...ociations/has_and_belongs_to_many_association.rb |   112 |    92 |  31.5% |
|...tive_record/associations/has_many_association.rb |   109 |    92 |  31.5% |
|...ord/associations/has_many_through_association.rb |   254 |   211 |  14.2% |
|...ctive_record/associations/has_one_association.rb |    98 |    81 |  16.0% |
|...cord/associations/has_one_through_association.rb |    28 |    22 |  31.8% |
|...ord-2.1.0/lib/active_record/attribute_methods.rb |   379 |   258 |  68.6% |
|...ems/activerecord-2.1.0/lib/active_record/base.rb |  2726 |  1339 |  53.6% |
|...verecord-2.1.0/lib/active_record/calculations.rb |   275 |   146 |  15.8% |
|...ctiverecord-2.1.0/lib/active_record/callbacks.rb |   312 |    81 | 100.0% |
|...nection_adapters/abstract/database_statements.rb |   176 |   113 |  56.6% |
|...cord/connection_adapters/abstract/query_cache.rb |    93 |    74 |  59.5% |
|...e_record/connection_adapters/abstract/quoting.rb |    69 |    53 |  66.0% |
|...nnection_adapters/abstract/schema_definitions.rb |   661 |   340 |  55.9% |
|...onnection_adapters/abstract/schema_statements.rb |   421 |   173 |  19.7% |
|...e_record/connection_adapters/abstract_adapter.rb |   169 |   109 |  70.6% |
|...tive_record/connection_adapters/mysql_adapter.rb |   530 |   386 |  48.4% |
|...ms/activerecord-2.1.0/lib/active_record/dirty.rb |   158 |    80 |  73.8% |
|...activerecord-2.1.0/lib/active_record/fixtures.rb |   997 |   452 |  40.0% |
|...rd-2.1.0/lib/active_record/locking/optimistic.rb |   147 |    78 |  59.0% |
|...d-2.1.0/lib/active_record/locking/pessimistic.rb |    77 |    10 |  40.0% |
|...ctiverecord-2.1.0/lib/active_record/migration.rb |   496 |   219 |  25.6% |
|...iverecord-2.1.0/lib/active_record/named_scope.rb |   163 |    81 |  42.0% |
|...activerecord-2.1.0/lib/active_record/observer.rb |   195 |    73 |  43.8% |
|...iverecord-2.1.0/lib/active_record/query_cache.rb |    21 |    18 |  50.0% |
|...tiverecord-2.1.0/lib/active_record/reflection.rb |   239 |   137 |  67.9% |
|...s/activerecord-2.1.0/lib/active_record/schema.rb |    51 |    12 |  33.3% |
|...erecord-2.1.0/lib/active_record/schema_dumper.rb |   171 |   122 |  13.9% |
|...erecord-2.1.0/lib/active_record/serialization.rb |    98 |    71 |  21.1% |
|...lib/active_record/serializers/json_serializer.rb |    80 |    29 |  41.4% |
|.../lib/active_record/serializers/xml_serializer.rb |   338 |   150 |  17.3% |
|...ctiverecord-2.1.0/lib/active_record/timestamp.rb |    41 |    29 | 100.0% |
|...verecord-2.1.0/lib/active_record/transactions.rb |   130 |    61 |  82.0% |
|...iverecord-2.1.0/lib/active_record/validations.rb |   961 |   390 |  51.5% |
|...gems/activeresource-2.1.0/lib/active_resource.rb |    47 |    21 |  57.1% |
